train_no,train_name,zone,section,current_delay,preceding_train_headway,visibility_meters,junction_congestion,train_priority,dwell_deviation,target_delay_min
17656,Kacheguda - Puducherry Express,SCR,GNT-NLR,5.37,4.11,164.5,0.171,2,2.48,23.25
22117,Kacheguda - Guntur AC Double Decker Express,SCR,BZA-VSKP,12.9,24.54,1189.5,0.1,1,1.66,11.15
22118,Kacheguda - Guntur AC Double Decker Express,SCR,BZA-WL,30.99,34.02,558.0,0.586,1,0.0,38.71
12002,Bhopal Shatabdi Express,NCR,GWL-DBA,1.54,3.62,4188.4,0.182,1,0.0,12.16
12001,Bhopal Shatabdi Express,NCR,DBA-JHS,26.06,21.94,7777.2,0.502,1,2.97,25.84
12049,Gatimaan Express,NCR,NDLS-CNB,6.17,17.32,3933.2,0.745,1,2.45,5.92
12050,Gatimaan Express,NCR,CNB-ALD,4.22,8.94,7862.2,0.155,1,1.3,2.25
20172,Rani Kamalapati Vande Bharat,NCR,NDLS-GZB,25.36,33.12,7831.6,0.304,1,3.45,24.71
20171,Rani Kamalapati Vande Bharat,NCR,GZB-ALJN,2.99,7.34,1120.4,0.315,1,1.05,3.36
12279,Taj Express,NCR,ALJN-TDL,17.04,24.66,7917.2,0.232,2,2.63,20.45
12280,Taj Express,NCR,TDL-AGC,1.66,31.22,487.6,0.388,2,1.29,13.55
12452,Shram Shakti Express,NCR,AGC-DHO,5.6,9.83,3873.9,0.465,2,1.77,0.39
12451,Shram Shakti Express,NCR,DHO-GWL,10.77,29.04,7869.5,0.28,2,2.21,12.99
12417,Prayagraj Express,NCR,GWL-DBA,24.24,25.08,1360.0,0.679,2,2.08,33.5
12418,Prayagraj Express,NCR,DBA-JHS,4.9,26.28,8022.0,0.402,2,2.48,4.96
12559,Shiv Ganga Express,NCR,NDLS-CNB,47.68,22.48,8096.8,0.669,2,1.02,49.66
12560,Shiv Ganga Express,NCR,CNB-ALD,12.02,32.69,8041.9,0.36,2,1.06,16.65
12137,Punjab Mail,NCR,NDLS-GZB,10.47,12.76,3916.2,0.473,2,0.0,13.08
12138,Punjab Mail,NCR,GZB-ALJN,3.84,34.9,8282.2,0.182,2,2.85,9.86
12615,Grand Trunk Express,NCR,ALJN-TDL,36.16,6.14,7982.8,0.609,2,1.21,42.64
12616,Grand Trunk Express,NCR,TDL-AGC,2.88,2.06,4142.6,0.279,2,2.05,20.82
13007,Ashutosh Toofan Express,NCR,AGC-DHO,11.81,5.46,8091.1,0.326,3,0.69,24.35
13008,Ashutosh Toofan Express,NCR,DHO-GWL,2.69,17.71,7761.3,0.556,3,0.0,9.08
04414,Delhi - Aligarh MEMU Passenger,NCR,GWL-DBA,7.85,21.4,7896.8,0.459,3,0.34,16.59
04183,Tundla - Delhi MEMU Passenger,NCR,DBA-JHS,3.33,34.55,8360.3,0.414,3,1.53,8.63
04159,Kanpur - Tundla MEMU Passenger,NCR,NDLS-CNB,5.18,2.13,8005.6,0.233,3,0.81,23.53
01888,Gwalior - Agra Cantt Passenger,NCR,CNB-ALD,2.2,4.56,4271.8,0.33,3,2.26,14.12
07091,Guntur - Delhi Passenger Special,SCoR,WL-SC,20.4,16.38,4142.5,0.628,3,0.72,24.07
07764,Guntur - Vijayawada MEMU Passenger,SCoR,GNT-RGDA,24.65,8.45,245.3,0.29,3,4.07,41.37
17239,Simhadri Daily Express,SCoR,GNT-BZA,67.3,34.14,4113.0,0.662,2,1.19,64.58
17240,Simhadri Daily Express,SCoR,BZA-EE,24.32,25.72,3720.4,0.198,2,2.76,26.53
17243,Guntur - Rayagada Express,SCoR,BZA-KI,24.8,31.62,8267.1,0.762,2,3.27,36.35
17244,Guntur - Rayagada Express,SCoR,GNT-NLR,15.85,5.47,4048.6,0.265,2,1.06,12.91
12705,Guntur - Secunderabad Intercity Express,SCR,BZA-VSKP,10.79,6.56,8035.3,0.1,2,1.44,13.34
12706,Guntur - Secunderabad Intercity Express,SCR,BZA-WL,3.23,3.5,7685.7,0.704,2,0.99,12.93
12743,Vijayawada - Gudur Amaravati Express,SCoR,WL-SC,2.2,2.25,4078.1,0.143,2,2.74,15.45
12744,Vijayawada - Gudur Amaravati Express,SCoR,GNT-RGDA,2.77,4.81,8007.3,0.186,2,1.4,8.34
12077,Vijayawada Jan Shatabdi Express,SCoR,GNT-BZA,1.93,34.55,401.4,0.491,1,4.01,10.83
12078,Vijayawada Jan Shatabdi Express,SCoR,BZA-EE,1.81,2.02,7859.2,0.599,1,3.8,13.79
16031,Andaman Express,SCoR,BZA-KI,21.85,33.12,3862.4,0.734,3,2.83,35.42
16032,Andaman Express,SCoR,GNT-NLR,2.92,23.4,7884.3,0.448,3,1.89,9.12
17201,Golconda Express,SCR,BZA-VSKP,16.09,30.87,8215.3,0.768,3,1.14,26.44
17202,Golconda Express,SCR,BZA-WL,20.43,5.09,7808.3,0.19,3,0.0,25.55
17656,Kacheguda - Puducherry Express,SCR,WL-SC,0.91,21.52,3909.9,0.1,2,0.0,9.32
22117,Kacheguda - Guntur AC Double Decker Express,SCR,GNT-RGDA,0.31,12.6,8216.8,0.1,1,2.18,0.0
22118,Kacheguda - Guntur AC Double Decker Express,SCR,GNT-BZA,31.41,3.05,458.8,0.28,1,0.31,44.37
12002,Bhopal Shatabdi Express,NCR,CNB-ALD,19.5,19.33,8227.2,0.679,1,1.23,18.86
12001,Bhopal Shatabdi Express,NCR,NDLS-GZB,8.94,25.11,8082.7,0.43,1,3.14,10.52
12049,Gatimaan Express,NCR,GZB-ALJN,11.04,28.85,1220.9,0.347,1,0.01,11.64
12050,Gatimaan Express,NCR,ALJN-TDL,18.2,10.34,1472.9,0.347,1,4.07,20.77
20172,Rani Kamalapati Vande Bharat,NCR,TDL-AGC,23.84,8.37,7889.8,0.415,1,0.83,22.9
20171,Rani Kamalapati Vande Bharat,NCR,AGC-DHO,10.83,17.89,462.2,0.117,1,0.84,20.33
12279,Taj Express,NCR,DHO-GWL,10.36,10.32,7919.9,0.435,2,1.54,11.72
12280,Taj Express,NCR,GWL-DBA,0.84,28.21,8154.7,0.765,2,1.95,11.38
12452,Shram Shakti Express,NCR,DBA-JHS,15.74,16.82,8292.0,0.472,2,1.7,16.67
12451,Shram Shakti Express,NCR,NDLS-CNB,1.22,16.31,1397.1,0.301,2,1.12,5.59
12417,Prayagraj Express,NCR,CNB-ALD,22.14,18.71,4117.0,0.468,2,2.35,29.25
12418,Prayagraj Express,NCR,NDLS-GZB,0.44,11.31,7894.4,0.679,2,2.11,10.75
12559,Shiv Ganga Express,NCR,GZB-ALJN,8.7,32.26,7830.3,0.414,2,1.82,12.86
12560,Shiv Ganga Express,NCR,ALJN-TDL,18.73,11.36,7821.8,0.316,2,1.49,22.79
12137,Punjab Mail,NCR,TDL-AGC,23.77,32.37,8029.6,0.532,2,0.22,29.73
12138,Punjab Mail,NCR,AGC-DHO,5.5,3.32,8076.2,0.385,2,0.0,16.89
12615,Grand Trunk Express,NCR,DHO-GWL,2.92,22.07,3881.0,0.325,2,1.1,4.92
12616,Grand Trunk Express,NCR,GWL-DBA,1.55,11.31,7938.4,0.291,2,2.02,9.04
13007,Ashutosh Toofan Express,NCR,DBA-JHS,4.39,22.21,7843.4,0.585,3,1.23,15.29
13008,Ashutosh Toofan Express,NCR,NDLS-CNB,15.87,27.16,7952.5,0.787,3,0.84,27.56
04414,Delhi - Aligarh MEMU Passenger,NCR,CNB-ALD,9.2,8.32,7850.9,0.241,3,1.31,13.79
04183,Tundla - Delhi MEMU Passenger,NCR,NDLS-GZB,4.71,26.07,7994.0,0.358,3,0.7,14.88
04159,Kanpur - Tundla MEMU Passenger,NCR,GZB-ALJN,13.98,15.88,7986.7,0.437,3,1.86,19.17
01888,Gwalior - Agra Cantt Passenger,NCR,ALJN-TDL,8.77,6.11,4025.3,0.669,3,1.06,17.77
07091,Guntur - Delhi Passenger Special,SCoR,BZA-EE,0.89,1.41,279.6,0.435,3,0.71,29.21
07764,Guntur - Vijayawada MEMU Passenger,SCoR,BZA-KI,1.24,23.45,1134.6,0.673,3,1.11,12.24
17239,Simhadri Daily Express,SCoR,GNT-NLR,11.45,27.34,3912.5,0.496,2,2.61,15.75
17240,Simhadri Daily Express,SCoR,BZA-VSKP,16.54,28.6,4269.9,0.449,2,0.25,13.04
17243,Guntur - Rayagada Express,SCoR,BZA-WL,6.95,21.84,327.4,0.285,2,2.48,20.56
17244,Guntur - Rayagada Express,SCoR,WL-SC,22.49,32.24,8039.9,0.179,2,2.3,26.22
12705,Guntur - Secunderabad Intercity Express,SCR,GNT-RGDA,9.45,34.48,460.0,0.261,2,0.0,23.45
12706,Guntur - Secunderabad Intercity Express,SCR,GNT-BZA,10.71,18.28,8255.3,0.58,2,0.75,14.83
12743,Vijayawada - Gudur Amaravati Express,SCoR,BZA-EE,7.43,1.32,7968.6,0.203,2,0.0,20.27
12744,Vijayawada - Gudur Amaravati Express,SCoR,BZA-KI,5.27,27.65,4066.7,0.248,2,0.52,3.6
12077,Vijayawada Jan Shatabdi Express,SCoR,GNT-NLR,15.36,31.13,3787.2,0.1,1,0.81,11.84
12078,Vijayawada Jan Shatabdi Express,SCoR,BZA-VSKP,12.34,3.21,4383.7,0.433,1,0.75,19.17
16031,Andaman Express,SCoR,BZA-WL,20.92,17.94,7974.5,0.202,3,2.32,24.52
16032,Andaman Express,SCoR,WL-SC,6.83,4.01,7867.1,0.665,3,3.72,17.51
17201,Golconda Express,SCR,GNT-RGDA,6.33,29.55,8039.2,0.475,3,1.67,9.13
17202,Golconda Express,SCR,GNT-BZA,4.26,32.98,8154.9,0.284,3,0.86,9.5
17656,Kacheguda - Puducherry Express,SCR,BZA-EE,6.89,25.8,1465.8,0.635,2,1.92,10.59
22117,Kacheguda - Guntur AC Double Decker Express,SCR,BZA-KI,0.86,2.94,7868.3,0.348,1,0.39,13.41
22118,Kacheguda - Guntur AC Double Decker Express,SCR,GNT-NLR,0.81,17.58,7959.3,0.598,1,1.8,0.87
12002,Bhopal Shatabdi Express,NCR,ALJN-TDL,9.86,32.85,7765.6,0.465,1,2.18,11.59
12001,Bhopal Shatabdi Express,NCR,TDL-AGC,11.25,12.88,7994.7,0.385,1,2.72,20.09
12049,Gatimaan Express,NCR,AGC-DHO,1.46,30.24,4026.5,0.328,1,0.51,2.51
12050,Gatimaan Express,NCR,DHO-GWL,7.45,15.0,4135.6,0.245,1,0.72,7.16
20172,Rani Kamalapati Vande Bharat,NCR,GWL-DBA,18.52,7.85,7927.6,0.433,1,1.61,20.03
20171,Rani Kamalapati Vande Bharat,NCR,DBA-JHS,50.39,27.25,7765.5,0.493,1,0.33,53.47
12279,Taj Express,NCR,NDLS-CNB,12.83,28.95,8017.0,0.111,2,3.14,14.48
12280,Taj Express,NCR,CNB-ALD,9.14,6.37,3971.2,0.17,2,1.1,12.13
12452,Shram Shakti Express,NCR,NDLS-GZB,2.44,31.4,3970.1,0.174,2,3.19,6.87
12451,Shram Shakti Express,NCR,GZB-ALJN,13.23,22.58,7993.2,0.237,2,2.92,20.43
12417,Prayagraj Express,NCR,ALJN-TDL,26.52,3.7,4050.8,0.161,2,1.92,41.81
12418,Prayagraj Express,NCR,TDL-AGC,7.38,13.17,7982.3,0.192,2,0.82,11.05
12559,Shiv Ganga Express,NCR,AGC-DHO,5.13,16.31,4182.6,0.643,2,2.97,6.25
12560,Shiv Ganga Express,NCR,DHO-GWL,13.53,12.05,4048.7,0.249,2,3.15,19.2
12137,Punjab Mail,NCR,GWL-DBA,8.63,11.38,8077.1,0.321,2,2.3,14.81
12138,Punjab Mail,NCR,DBA-JHS,13.33,20.05,7963.8,0.417,2,1.8,17.7
12615,Grand Trunk Express,NCR,NDLS-CNB,1.41,15.37,8049.8,0.488,2,2.4,6.5
12616,Grand Trunk Express,NCR,CNB-ALD,0.22,33.74,4092.3,0.62,2,1.91,2.19
13007,Ashutosh Toofan Express,NCR,NDLS-GZB,9.34,4.28,7997.1,0.617,3,2.44,24.46
13008,Ashutosh Toofan Express,NCR,GZB-ALJN,26.74,7.3,8256.6,0.617,3,0.62,33.46
04414,Delhi - Aligarh MEMU Passenger,NCR,ALJN-TDL,21.36,21.37,8146.3,0.382,3,4.73,28.11
04183,Tundla - Delhi MEMU Passenger,NCR,TDL-AGC,17.84,21.47,925.4,0.833,3,0.28,48.36
04159,Kanpur - Tundla MEMU Passenger,NCR,AGC-DHO,8.62,4.54,8325.6,0.198,3,2.23,17.8
01888,Gwalior - Agra Cantt Passenger,NCR,DHO-GWL,3.52,13.3,8029.2,0.731,3,0.43,11.46
07091,Guntur - Delhi Passenger Special,SCoR,BZA-VSKP,8.72,1.19,7953.6,0.198,3,4.78,24.82
07764,Guntur - Vijayawada MEMU Passenger,SCoR,BZA-WL,1.09,21.98,8100.7,0.795,3,1.02,11.02
17239,Simhadri Daily Express,SCoR,WL-SC,6.02,15.34,8040.1,0.351,2,0.85,7.64
17240,Simhadri Daily Express,SCoR,GNT-RGDA,3.57,3.02,4022.0,0.218,2,0.43,15.01
17243,Guntur - Rayagada Express,SCoR,GNT-BZA,6.51,26.54,7966.3,0.156,2,2.89,8.41
17244,Guntur - Rayagada Express,SCoR,BZA-EE,24.83,25.62,8113.8,0.17,2,1.35,21.09
12705,Guntur - Secunderabad Intercity Express,SCR,BZA-KI,0.54,5.18,4189.9,0.182,2,2.51,3.41
12706,Guntur - Secunderabad Intercity Express,SCR,GNT-NLR,4.39,27.83,8137.9,0.408,2,0.0,5.21
12743,Vijayawada - Gudur Amaravati Express,SCoR,BZA-VSKP,10.47,13.62,4154.9,0.612,2,0.04,11.38
12744,Vijayawada - Gudur Amaravati Express,SCoR,BZA-WL,2.01,1.87,4116.9,0.1,2,2.83,13.5
12077,Vijayawada Jan Shatabdi Express,SCoR,WL-SC,11.17,13.4,7996.0,0.442,1,0.12,11.52
12078,Vijayawada Jan Shatabdi Express,SCoR,GNT-RGDA,5.82,2.33,8001.0,0.224,1,0.0,15.6
16031,Andaman Express,SCoR,GNT-BZA,27.64,4.95,504.5,0.597,3,0.0,41.75
16032,Andaman Express,SCoR,BZA-EE,9.68,19.42,1221.4,0.212,3,0.0,16.34
17201,Golconda Express,SCR,BZA-KI,40.72,19.96,7839.1,0.46,3,4.3,51.45
17202,Golconda Express,SCR,GNT-NLR,11.63,7.84,8293.8,0.469,3,1.82,19.53
17656,Kacheguda - Puducherry Express,SCR,BZA-VSKP,24.48,5.44,1240.4,0.338,2,0.09,29.86
22117,Kacheguda - Guntur AC Double Decker Express,SCR,BZA-WL,10.66,13.76,7992.3,0.615,1,4.76,9.54
22118,Kacheguda - Guntur AC Double Decker Express,SCR,WL-SC,24.08,34.35,8078.2,0.343,1,1.25,23.49
12002,Bhopal Shatabdi Express,NCR,DHO-GWL,11.82,32.5,7558.9,0.713,1,1.01,11.92
12001,Bhopal Shatabdi Express,NCR,GWL-DBA,5.33,28.35,8143.0,0.402,1,2.36,8.26
12049,Gatimaan Express,NCR,DBA-JHS,12.89,27.05,1313.1,0.221,1,0.0,11.1
12050,Gatimaan Express,NCR,NDLS-CNB,0.82,12.86,7716.0,0.252,1,1.5,0.0
20172,Rani Kamalapati Vande Bharat,NCR,CNB-ALD,3.17,10.55,1085.6,0.27,1,0.0,6.77
20171,Rani Kamalapati Vande Bharat,NCR,NDLS-GZB,12.28,34.29,4204.1,0.153,1,2.7,17.44
12279,Taj Express,NCR,GZB-ALJN,0.89,24.21,8185.8,0.449,2,0.11,4.51
12280,Taj Express,NCR,ALJN-TDL,17.92,10.23,7895.8,0.403,2,1.52,21.67
12452,Shram Shakti Express,NCR,TDL-AGC,21.94,1.13,8023.3,0.137,2,2.37,42.47
12451,Shram Shakti Express,NCR,AGC-DHO,4.51,27.82,1327.6,0.369,2,3.88,12.84
12417,Prayagraj Express,NCR,DHO-GWL,0.05,6.68,4138.9,0.409,2,0.23,6.08
12418,Prayagraj Express,NCR,GWL-DBA,1.34,27.58,3979.1,0.852,2,1.52,11.85
12559,Shiv Ganga Express,NCR,DBA-JHS,5.54,2.78,1016.9,0.637,2,1.06,29.26
12560,Shiv Ganga Express,NCR,NDLS-CNB,25.46,8.34,3766.9,0.357,2,2.47,25.01
12137,Punjab Mail,NCR,CNB-ALD,14.99,7.77,1446.4,0.445,2,0.0,20.09
12138,Punjab Mail,NCR,NDLS-GZB,21.66,1.5,7965.7,0.142,2,0.0,39.21
12615,Grand Trunk Express,NCR,GZB-ALJN,39.73,18.65,3960.6,0.675,2,1.21,44.09
12616,Grand Trunk Express,NCR,ALJN-TDL,3.7,1.6,8015.3,0.497,2,0.0,21.0
13007,Ashutosh Toofan Express,NCR,TDL-AGC,18.19,16.57,8036.6,0.336,3,3.51,27.96
13008,Ashutosh Toofan Express,NCR,AGC-DHO,7.71,2.97,403.1,0.458,3,0.72,31.31
04414,Delhi - Aligarh MEMU Passenger,NCR,DHO-GWL,11.69,27.56,3952.3,0.502,3,0.1,20.42
04183,Tundla - Delhi MEMU Passenger,NCR,GWL-DBA,5.08,32.19,8148.1,0.556,3,1.31,9.08
04159,Kanpur - Tundla MEMU Passenger,NCR,DBA-JHS,8.33,24.11,8027.7,0.628,3,0.82,16.05
01888,Gwalior - Agra Cantt Passenger,NCR,NDLS-CNB,2.17,16.15,7935.6,0.481,3,1.9,13.7
07091,Guntur - Delhi Passenger Special,SCoR,GNT-RGDA,0.91,22.16,195.5,0.576,3,1.53,21.34
07764,Guntur - Vijayawada MEMU Passenger,SCoR,GNT-BZA,45.43,26.75,8270.7,0.202,3,2.91,48.87
17239,Simhadri Daily Express,SCoR,BZA-EE,0.15,1.31,8234.3,0.12,2,0.94,16.8
17240,Simhadri Daily Express,SCoR,BZA-KI,6.72,1.99,7880.6,0.345,2,1.28,18.43
17243,Guntur - Rayagada Express,SCoR,GNT-NLR,16.84,32.23,159.5,0.1,2,0.0,29.11
17244,Guntur - Rayagada Express,SCoR,BZA-VSKP,12.83,9.17,7771.1,0.454,2,2.32,10.76
12705,Guntur - Secunderabad Intercity Express,SCR,BZA-WL,10.41,18.57,1497.5,0.423,2,1.27,15.51
12706,Guntur - Secunderabad Intercity Express,SCR,WL-SC,18.19,17.2,8061.4,0.1,2,1.0,13.81
12743,Vijayawada - Gudur Amaravati Express,SCoR,GNT-RGDA,19.98,29.42,8029.8,0.455,2,1.63,26.77
12744,Vijayawada - Gudur Amaravati Express,SCoR,GNT-BZA,3.98,15.46,8052.2,0.219,2,0.0,1.61
12077,Vijayawada Jan Shatabdi Express,SCoR,BZA-EE,4.35,8.83,7846.5,0.693,1,0.0,4.02
